TS,DID,SID,FID,VR,VY,VB,AVG_VLN,VRY,VYB,VBR,AVG_VLL,IR,IY,IB,AVG_I,R_PF,Y_PF,B_PF,AVG_PF,FREQUENCY,R_KW,Y_KW,B_KW,TOTAL_KW,R_KVA,Y_KVA,B_KVA,TOTAL_KVA,R_KVAR,Y_KVAR,B_KVAR,TOTAL_KVAR,R_THD_V,Y_THD_V,B_THD_V,R_THD_I,Y_THD_I,B_THD_I,RSSI,KWH,KVAH,KVARH,LN_MAX_DEV,LN_VOL_IMB,LL_MAX_DEV,LL_VOL_IMB,I_MAX_DEV,I_CURR_IMB,PF_MAX_DEV,PF_IMB,KW_IMB_PCT,KVA_IMB_PCT,KVAR_IMB_PCT,AVG_THD_V,AVG_THD_I,THD_V_IMB_PCT,THD_I_IMB_PCT,DELTA_KWH,DELTA_KVAH,DELTA_KVARH,F_DEV_PCT,RT_LOAD_PCT,RT_PERF_SCORE,RT_ENG_COST_KWH,RT_ENG_COST_KVAH
9/20/2025 6:00,E_AA_Z_B_X_P0005_D4,17,V1.0,187.0979,240.6795028,223.5001343,247.2424869,385.5034577,385.1591643,479.9273279,422.5451269,100.2863126,103.5194181,92.28432465,108.0045692,0.381306702,0.817756656,0.879121521,0.883360524,51.64126952,8.416486314,27.69331364,7.12823527,55.81316839,15.03517816,21.8912074,28.90774773,86.88140079,1.064038265,15.68277557,15.08139877,41.06654414,11.96652668,5.515888848,0.555631017,0.753851101,12.26073438,3.552902834,-87.92358563,0.0,0.0,0.0,60.14458689999998,24.326153507882378,57.38220100000001,13.580135551670944,15.7202,14.5551,0.5021,56.8398,142.6874,63.216,137.7904,6.0126821816666665,5.522496105000001,189.7805,208.3638,0.0,0.0,0.0,3.2825,124.03,85.0,0.0,0.0
9/20/2025 6:01,E_AA_Z_B_X_P0005_D4,17,V1.0,214.5402241,294.6873583,207.7690663,247.0652424,420.7053701,395.9933399,484.0486628,401.7972155,109.8167031,75.19953254,109.243745,95.5533433,0.512682999,0.837839157,0.879810511,0.999007964,49.94726783,25.34276197,23.46940679,24.15906214,11.65516899,23.9655292,11.65722633,8.463645683,36.41769184,16.92401113,10.90570594,14.63983696,49.03033692,3.819218709,2.850373153,4.15392154,3.087794373,15.33358382,3.422810569,-78.64144794,0.561629684,0.908124452,0.420009885,47.62211590000004,19.27511755089353,82.2514473,20.470885343903035,20.3538,21.301,0.4863,48.6783,7.7018,105.4875,42.5126,3.6078378006666667,7.281396254,36.131,168.1791,0.561629684,0.908124452,0.420009885,0.1055,25.9,85.0,4.493037472,5.902808938
9/20/2025 6:02,E_AA_Z_B_X_P0005_D4,17,V1.0,212.3962507,258.8828631,190.6543062,225.2718675,517.2670704,311.0198935,453.6972255,451.5952268,33.7549102,93.60113895,103.7487404,90.38546448,0.739447661,0.971938278,0.836725168,0.907802311,49.81150432,24.67785152,11.04165751,4.776138804,26.6201152,10.13365524,9.301509645,27.03371617,7.966787918,9.409148014,9.216913642,27.10808017,24.75085464,3.231920578,12.15279064,6.320388912,17.25493323,7.089765788,6.664712578,-31.91040709,1.314935675,1.845312637,0.891912499,34.617561300000006,15.367014835973695,140.57533329999995,31.12861362510751,56.6306,62.6545,0.1684,18.5503,147.4359,114.4779,117.3598,7.235033376666666,10.336470532,123.301,102.4549,0.7533059910000001,0.9371881849999999,0.471902614,0.377,59.16,85.0,6.0264479280000005,6.091723202499999
9/20/2025 6:03,E_AA_Z_B_X_P0005_D4,17,V1.0,243.2285641,197.5733103,234.6614447,231.7387908,346.3499303,401.833711,405.471959,421.3143259,99.62725476,103.8056261,103.9518484,103.9305635,0.852130251,0.867871705,0.304488906,0.981443398,49.97273892,14.56282276,18.11149754,21.51471528,33.0975519,4.758178041,30.50569429,26.12274635,3.579660987,18.19621551,3.513934055,1.455233541,12.06003898,2.946202777,0.644868394,4.590136146,0.899970024,27.11795269,21.86922573,-33.34824481,1.919712732,2.642188224,1.402622114,34.1654805,14.743099496659667,74.96439559999999,17.79298518745194,4.3033,4.1406,0.677,68.98,38.4869,125.8296,216.8017,2.7270691056666667,16.629049481333336,144.6706,157.6637,0.604777057,0.7968755869999999,0.5107096149999999,0.0545,73.55,85.0,4.838216456,5.1796913154999995
9/20/2025 6:04,E_AA_Z_B_X_P0005_D4,17,V1.0,228.0210783,235.3231155,228.3050506,221.9976246,398.9194862,396.9674607,392.0391574,406.6143735,101.2427517,107.7921705,105.5860445,109.9602368,0.872899795,0.965836775,0.873106015,0.571027976,49.74366764,20.75616305,10.6830115,10.80414218,12.27004007,28.28207343,17.67406448,17.7986181,17.26525522,14.58939722,2.859126279,15.74796509,16.28979094,7.607044251,4.890780791,5.597107279,13.75326847,6.803434434,1.936683393,-84.80232824,2.507987511,3.359067604,1.919466897,13.325490900000005,6.00253760553076,14.575216099999977,3.5845304666781477,8.7175,7.9279,0.3948,69.1385,71.5367,49.9163,116.4777,6.031644106999999,7.497795432333333,45.0335,157.6008,0.588274779,0.71687938,0.516844783,0.5127,27.27,85.0,4.706198232,4.65971597
9/20/2025 6:05,E_AA_Z_B_X_P0005_D4,17,V1.0,244.2589331,275.2214646,248.9286033,237.5145116,398.0556803,394.3390324,406.8501155,414.7010245,105.7806995,100.6349292,92.90472574,99.18016995,0.933623793,0.878170766,0.909861186,0.360485534,50.83949705,3.568015701,16.60545941,10.8082204,24.22319354,0.169728004,2.180952452,16.78351744,48.30931183,13.43593763,4.487349089,10.16025157,0.992905002,4.315725804,0.673210726,2.411975871,5.053590581,9.138643524,29.5002937,-69.80045621,3.076103141,4.000289438,2.366553775,37.706953,15.8756417643662,20.36199210000001,4.9100414267242805,6.6005,6.6551,0.5731,158.98,126.2434,260.4832,95.5925,2.4669708003333333,14.564175935,147.6513,167.855,0.5681156299999999,0.6412218340000004,0.4470868779999999,1.679,53.83,85.0,4.544925039999999,4.167941921000002
9/20/2025 6:06,E_AA_Z_B_X_P0005_D4,17,V1.0,280.2814601,271.4828031,169.0847495,227.9062321,460.7474454,354.1113681,414.4451031,428.0578909,134.8227413,103.5388287,95.44422113,48.62538858,0.96024885,0.856897771,0.931455471,0.836212774,50.46259827,0.768786653,18.20617534,25.93218256,21.55959752,30.12093865,20.87147141,7.340773539,37.23596422,8.105100048,4.860298318,15.93393519,20.8967002,1.419203724,2.108322396,4.805920902,12.14693205,9.558238765,5.636374303,-81.33666398,3.644533582,4.607636838,2.928331683,58.821482600000024,25.809510366610123,73.94652280000003,17.274888367208003,86.1974,177.2683,0.124,14.8288,168.1028,117.1554,114.9539,2.7778156740000006,9.113848372666668,121.9202,71.4359,0.5684304410000003,0.6073474000000001,0.5617779080000003,0.9252,47.91,85.0,4.547443528000002,3.9477581000000006
9/20/2025 6:07,E_AA_Z_B_X_P0005_D4,17,V1.0,234.6378559,261.56059,243.7619915,201.518423,410.0000051,386.4322207,440.2741779,421.5718396,10.8273063,95.66888148,101.9604445,26.84284478,0.806098253,0.928409203,0.915585317,0.847040066,50.44741001,1.321128809,24.46428021,1.531210418,38.12933944,16.40421888,28.4330712,11.57124516,55.66807432,1.181505676,25.5923935,8.316760013,41.0022878,4.819662656,7.046260637,4.248916624,8.350534423,15.59591294,0.385595453,-87.53517007,4.273553654,5.43056286,3.365874831,60.04216699999998,29.79487736463677,35.13961889999996,8.335380971684799,75.1176,279.8422,0.0814,9.6099,254.1656,89.677,208.6956,5.371613305666666,8.110680938666667,52.0764,187.5344,0.6290200719999994,0.8229260219999999,0.43754314800000005,0.8948,84.73,85.0,5.0321605759999954,5.349019143
9/20/2025 6:08,E_AA_Z_B_X_P0005_D4,17,V1.0,243.861432,224.6483726,206.444967,236.014769,453.2500896,388.2628685,349.4666504,408.0001162,103.9290513,104.3996133,108.4867655,108.2865418,0.956084662,0.843539163,0.437854273,0.928157263,51.331546,23.31750205,5.521747871,27.82969663,65.8550686,17.06528325,16.45521667,23.70193742,57.94895078,19.04661237,16.33771821,7.493015341,8.76087472,3.694571706,13.66608182,4.229219368,4.999342857,9.999673736,1.940986442,-82.75509344,4.799062578,6.316892494,3.664365976,29.56980200000001,12.528793060403778,58.53346579999999,14.346433610157877,4.3575,4.024,0.4903,52.8251,118.0962,37.9924,80.8371,7.196624298,5.646667678333333,138.5582,142.7158,0.5255089240000004,0.886329634,0.29849114499999985,2.6631,146.34,85.0,4.204071392000003,5.761142620999999
9/20/2025 6:09,E_AA_Z_B_X_P0005_D4,17,V1.0,237.7123388,170.8145597,274.0772802,297.7636894,303.3561184,451.1524221,455.3727588,428.1010693,98.83099316,93.01106943,109.5734445,105.6514565,0.817308599,0.907682418,0.961407919,0.955622706,49.61574077,26.19337667,6.285620249,22.53342136,5.264939899,23.34793835,0.119615572,10.70651174,21.58331373,17.83722014,2.16796584,14.9224555,67.58894544,6.534381131,9.383926928,3.285153662,0.499840394,7.781665397,8.163120223,-36.59329823,5.322262692,6.960529296,4.308114372,126.94912969999999,42.63418751823136,124.74495089999999,29.139135555997075,12.6404,11.9642,0.1383,14.4722,108.5633,203.9118,134.5861,6.401153907,5.481542004666667,95.2762,139.8015,0.5232001139999998,0.6436368019999996,0.6437483960000003,0.7685,11.7,85.0,4.185600911999998,4.1836392129999975
9/20/2025 6:10,E_AA_Z_B_X_P0005_D4,17,V1.0,259.7784971,168.1803508,263.3384474,208.6522631,492.9079496,436.464737,405.6602762,422.3370519,128.6187451,109.0247953,109.125781,109.6966342,0.921824566,0.873116303,0.820165617,0.987534908,49.33787598,16.432907,6.386901666,6.453625827,28.49542026,12.89863251,24.07019782,2.556910817,80.68854193,7.616094618,11.82616365,23.31408278,40.76838345,14.2004895,8.595549392,4.144489883,3.060135848,13.26864455,8.03775504,-80.48598093,6.103056216,7.786290464,4.859332034,54.68618430000001,26.20924570264103,70.57089769999999,16.709615550546015,18.9221,17.2495,0.1674,16.9513,102.9535,163.2856,110.145,8.980176258333332,8.122178479333334,111.98,125.6868,0.7807935239999999,0.8257611680000005,0.551217662,1.3242,63.32,85.0,6.246348191999999,5.367447592000003
